,identificacion,name,nombre,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
57,I-35,Zinc metal,"""zinc, granallas""",Merck,7440-66-6,inorganicos,False,True,1000,gr
58,I-35,Zinc metal,"""zinc, granallas""",Merck,7440-66-6,inorganicos,False,True,1000,gr
59,I-36,Potassium thiocyanate,tiocianato de potasio,Merck,333-20-0,inorganicos,False,True,250,gr
60,I-37,Mercury(II) chloride,cloruro de mercurio (II),Analar,7487-94-7,inorganicos,False,True,100,gr
61,I-37,Mercury(II) chloride,cloruro de mercurio (II),Timper,7487-94-7,inorganicos,False,True,100,gr
62,I-38,Manganese sulfate,sulfato de manganeso,Merck,10034-96-5,inorganicos,False,True,250,gr
63,I-39,Copper(II) oxide,oxido cprico,Carlo Erba,1317-38-0,inorganicos,False,True,200,gr
64,I-40,Iron(III) chloride hexahydrate,cloruro frrico,Merck,10025-77-1,inorganicos,False,True,100,gr
65,I-40,Iron(III) chloride hexahydrate,cloruro frrico,J.T. Baker,10025-77-1,inorganicos,False,True,500,gr
66,I-41,Ferrous sulfate,Sulfato Ferroso,Merck,7782-63-0,inorganicos,False,True,500,gr
67,I-42,Sodium dichromate dihydrate,Dicromato de Sodio dihidrato,Mallinckrodt,7789-12-0,inorganicos,False,True,1,Kg
68,I-43,Potassium bromide,bromuro de potasio,Merck,3/2/7758,inorganicos,False,True,500,gr
69,I-43,Potassium bromide,bromuro de potasio,Anedra,3/2/7758,inorganicos,False,True,250,gr
70,I-43,Potassium bromide,bromuro de potasio,Desconocido,3/2/7758,inorganicos,False,True,100,gr
71,I-44,Sodium fluoride,fluoruro de sodio,Merck,7681-49-4,inorganicos,False,True,250,gr
72,I-44,Sodium fluoride,fluoruro de sodio,Merck,7681-49-4,inorganicos,False,True,25,gr
73,I-44,Sodium fluoride,fluoruro de sodio,Aristar,7681-49-4,inorganicos,False,True,50,gr
74,I-45,Potassium dichromate,dicromato de potasio,Mallinckrodt,7778-50-9,inorganicos,False,True,250,gr
75,I-45,Potassium dichromate,dicromato de potasio,(Desconocido),7778-50-9,inorganicos,False,True,1000,gr
76,I-46,Potassium iodide,ioduro de potasio,Merck,7681-11-0,inorganicos,False,True,250,gr
77,I-46,Potassium iodide,ioduro de potasio,RHODIA,7681-11-0,inorganicos,False,True,250,gr
78,I-47,Chromium(III) sulfate hydrate,Sulfato de Cromo (III),Carlo Erba,15244-38-9,inorganicos,False,True,250,gr
79,I-48,Nickel(II) sulfate hexahydrate,Sulfato de Nquel Heptahidratado,Merck,10101-97-0,inorganicos,False,True,250,gr
80,I-49,Antimony(III) chloride,Cloruro de Antimonio,Analar,10025-91-9,inorganicos,False,True,100,gr
81,I-49,Antimony(III) chloride,Cloruro de Antimonio,Riedel-DeHaen,10025-91-9,inorganicos,False,True,250,gr
82,I-50,Aluminum chloride,Cloruro de Aluminio,Merck,7446-70-0,inorganicos,False,True,1000,gr
