,identificacion,name,nombre,cantidad,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
50,I-30,Cupric sulfate pentahydrate,sulfato cprico,250 gr,Merck,7758-99-8,inorganicos,False,True,250.0,gr
51,I-30,Cupric sulfate pentahydrate,sulfato cprico,500 gr,AnalQuim,7758-99-8,inorganicos,False,True,500.0,gr
52,I-30,Cupric sulfate pentahydrate,sulfato cprico,500 gr,BDH,7758-99-8,inorganicos,False,True,500.0,gr
53,I-31,Sodium metavanadate,monovanadato de sodio,100 gr,Merck,13718-26-8,inorganicos,False,True,100.0,gr
54,I-32,Neochromium,sulfato basico de cromo (III) -neocromo,500 gr,Riedel-DeHaen,64093-79-4,inorganicos,False,True,500.0,gr
55,I-33,Sodium iodide,ioduro de sodio,250 gr,Merck,7681-82-5,inorganicos,False,True,250.0,gr
56,I-34,Iron(III) sulfate hydrate,sulfato frrico,100 gr,Mallinckrodt,,inorganicos,False,True,100.0,gr
57,I-35,Zinc metal,"""zinc, granallas""",1000 gr,Merck,7440-66-6,inorganicos,False,True,1000.0,gr
58,I-35,Zinc metal,"""zinc, granallas""",1000 gr,Merck,7440-66-6,inorganicos,False,True,1000.0,gr
59,I-36,Potassium thiocyanate,tiocianato de potasio,250 gr,Merck,333-20-0,inorganicos,False,True,250.0,gr
60,I-37,Mercury(II) chloride,cloruro de mercurio (II),100 gr,Analar,7487-94-7,inorganicos,False,True,100.0,gr
61,I-37,Mercury(II) chloride,cloruro de mercurio (II),100 gr,Timper,7487-94-7,inorganicos,False,True,100.0,gr
62,I-38,Manganese sulfate,sulfato de manganeso,250 gr,Merck,10034-96-5,inorganicos,False,True,250.0,gr
63,I-39,Copper(II) oxide,oxido cprico,200 gr,Carlo Erba,1317-38-0,inorganicos,False,True,200.0,gr
64,I-40,Iron(III) chloride hexahydrate,cloruro frrico,100 gr,Merck,10025-77-1,inorganicos,False,True,100.0,gr
65,I-40,Iron(III) chloride hexahydrate,cloruro frrico,500 gr,J.T. Baker,10025-77-1,inorganicos,False,True,500.0,gr
66,I-41,Ferrous sulfate,Sulfato Ferroso,500 gr,Merck,7782-63-0,inorganicos,False,True,500.0,gr
67,I-42,Sodium dichromate dihydrate,Dicromato de Sodio dihidrato,1 Kg,Mallinckrodt,7789-12-0,inorganicos,False,True,1.0,Kg
68,I-43,Potassium bromide,bromuro de potasio,500 gr,Merck,7758-02-03,inorganicos,False,True,500.0,gr
69,I-43,Potassium bromide,bromuro de potasio,250 gr,Anedra,7758-02-03,inorganicos,False,True,250.0,gr
70,I-43,Potassium bromide,bromuro de potasio,100 gr,Desconocido,7758-02-03,inorganicos,False,True,100.0,gr
71,I-44,Sodium fluoride,fluoruro de sodio,250 gr,Merck,7681-49-4,inorganicos,False,True,250.0,gr
72,I-44,Sodium fluoride,fluoruro de sodio,25 gr,Merck,7681-49-4,inorganicos,False,True,25.0,gr
73,I-44,Sodium fluoride,fluoruro de sodio,50 gr,Aristar,7681-49-4,inorganicos,False,True,50.0,gr
74,I-45,Potassium dichromate,dicromato de potasio,250 gr,Mallinckrodt,7778-50-9,inorganicos,False,True,250.0,gr
75,I-45,Potassium dichromate,dicromato de potasio,1000 gr,(Desconocido),7778-50-9,inorganicos,False,True,1000.0,gr
76,I-46,Potassium iodide,ioduro de potasio,250 gr,Merck,7681-11-0,inorganicos,False,True,250.0,gr
77,I-46,Potassium iodide,ioduro de potasio,250 gr,RHODIA,7681-11-0,inorganicos,False,True,250.0,gr
78,I-47,Chromium(III) sulfate hydrate,Sulfato de Cromo (III),250 gr,Carlo Erba,15244-38-9,inorganicos,False,True,250.0,gr
79,I-48,Nickel(II) sulfate hexahydrate,Sulfato de Nquel Heptahidratado,250 gr,Merck,10101-97-0,inorganicos,False,True,250.0,gr
80,I-49,Antimony(III) chloride,Cloruro de Antimonio,100 gr,Analar,10025-91-9,inorganicos,False,True,100.0,gr
81,I-49,Antimony(III) chloride,Cloruro de Antimonio,250 gr,Riedel-DeHaen,10025-91-9,inorganicos,False,True,250.0,gr
82,I-50,Aluminum chloride,Cloruro de Aluminio,1000 gr,Merck,7446-70-0,inorganicos,False,True,1000.0,gr
83,I-51,Zinc sulfate,Sulfato de Zinc,100 gr,(Desconocido),7446-20-0,inorganicos,False,True,100.0,gr
84,I-51,Zinc sulfate heptahydrate,Sulfato de Zinc heptahidratado,100 gr,Mallinckrodt,7446-20-0,inorganicos,False,True,100.0,gr
85,I-52,Sodium bromide,Bromuro de Sodio,250 gr,Mallinckrodt,7647-15-6,inorganicos,False,True,250.0,gr
86,I-53,Ammonium persulfate,Persulfato de Amonio,250 gr,Anedra,7727-54-0,inorganicos,False,True,250.0,gr
87,I-54,Stannous chloride dihydrate,cloruro de estao.2 H2O,100gr,Merck,10025-69-1,inorganicos,False,True,100.0,gr
